Description,Title
"•	Understand the testing effort by analyzing the requirements of project.
•	Estimate and obtain management support for the time and resources required to perform the testing.
•	Define the Strategy and Test Plan
•	Identify training requirements and forward it to the Project Manager 
•	Assign task to all testing team members and ensure that all of them have sufficient work in the project.
•	Ensure content and structure of all testing documents / artifacts is documented and maintained.
•	Document, implement, monitor, and enforce all processes for testing as per standards defined by the NIIT Tech.
•	Escalate the issues about project requirements (Software, Hardware, Resources) to Project Manager / Sr. Test Manager.
•	Organize the status meetings and send the Status Report (Daily, Weekly etc.) to the client 
•	Track and prepare the report of testing activities like test testing results, test case coverage, required resources, defects discovered and their status, etc.
•	Review Test Scenarios prepared by Test engineers to ensure Requirement coverage.
•	Prepare Requirement Traceability Matrix
•	Ensure the timely delivery of different testing milestones.
•	Prepare / updates the metrics dashboard at the end of a phase.",Quality Assurance
"•	Comprehensive knowledge of the Complete Software Development Life Cycle (SDLC) and identifying the requirements and defining the business rules to user requirements.	
•	Designed the complete solution using 3-tier Architecture model
•	Successfully followed agile development steps starting from requirement to deployment.
•	Experience in using Data Grid controls for displaying dynamically data.
•	Extensive experience in using State management both the client side and server side.
•	Azure SDK 1.8/2.5, Web Role, Worker Role
•	MVC 2.0/4.0
•	Extensively used Ajax to reduce the time for user request by using different controls under it. 
•	Extensively used WCF framework to build applications that inter-communicate and implement services using Service Contract and Data Operation. Deployed on PaaS Azure with Service Bus.
•	Developed SOAP based Middleware using Web Services to read XML files which is to provide communication between data access layer and backend database. 
•	Used XML files for reading the static data and also simultaneously reduce the load on the database server.
•	Implemented web services with SOA using WCF for passing data to multiple platforms.
•	SQL Azure, DMVs
•	Worked with ASP.NET Web Forms, Web Services, State Management, Azure Managed Cache and configuring optimizations for securing the web application. 
•	Used various ASP .NET server controls and data controls. Customized .Net Login Controls to implement authentication and authorization. 
•	Created the UI layers and web pages, and integrated them to maintain the performance of data flow and data integrity using ASP.NET User Controls, Web Server Controls.
•	Developed and Implemented Master pages in the application for designing Presentation Tier (web pages). 
•	Applied CSS for a consistent look and feel for Page design in the application.
•	Worked on AJAX to populate user interface controls such as drop down list and generate warning messages to enhance overall UI experience.
•	Involved in developing the Business Layer in C#.NET, where all the Business Objects are written in developing the whole Application. 
•	Designed and developed various abstract classes, interfaces, classes to construct the business logic using C#.NET. 
•	Used JavaScript functions to implement complex Business Rules and Validation of front end forms.
•	Expert in using JavaScript and ASP.NET validation controls for performing Form Validations
•	Worked on web pages and business objects using JavaScript, XML in a mixed ASP.NET environment. 
•	Extensive used on UI development experience using HTML, DHTML, CSS, XML, JavaScript and JQuery.
•	Developed Custom Controls and Utilized JavaScript to create Client-side validations that greatly decreased processing time and resource consumption, freeing resources for use by other applications and speeding up processing times.
•	Experience with Data Accessing including using Data Adapter, Data Reader and Dataset in ADO.NET.
•	Rendered XML document to an HTML using XSL and XSLT Transformations.
•	Utilized Team Foundation Server (TFS) for the purpose of version Control and source code maintenance needs. 
•	Prepared various test cases to fix the bugs and ensures the application is error-free using VS Unit Testing.",Technical Lead
: Design application as an architect. Created an application that is making queue of various requests and other application to process this data and A web to create various events and format of that related data along with some set of rules to implement on this data to fire related action. ,Architect
"1)	Responsible for solution architecture, design, development, and code review.
2)	Interacting with business to understand the business requirement and ensure the team has clear knowledge of the requirement
3)	Responsible for project timelines by ensuring the project is per estimated plan.",Technical Lead
"•	Development of custom components in HTML5/Javascript using OpenUI5( JS Library) for both Desktop and mobile 
•	Development of custom components using Flex3/Flex4
•	Adding new features to the existing components as per the requirement of the SAS solutions
•	Bug fixes in the components developed in SAS
•	Supporting various components like Wizard, combobox, colorpicker, Code editor, text viewer, panel, tab bar, windowshade, textInputTypeAheadetc
•	Unit testing of the developed components
•	Research work on emulators, code coverage tools, debugging in mobile devices for javascript
•	Conducting knowledge sharing sessions on new technologies/practices learned
•	Log defects on various SAS components
•	Taking part in the design draft discussion for various components
",Software Engineer
"•	Operational Service Configuration.
•	Implemented GIS functionalities in School Locator Application.
•	Implemented Share Functionality in My Government Services Application.
•	Upgraded Api in Public Notification and Citizen Service Request Applications.
•	Responsible for UI development.
•	Resolving service tickets for customers. 
•	Managing change request and supporting during various testing and go live phase.
•	Direct interaction with client for unplanned requirements and supports.",Software Engineer
"•	Develop UI for the modules based on the design/wireframes provided.
•	Debug existing problem related to UI architecture
•	Develop custom components for the library to be used across all products
•	Co-ordinating with the team members from various locations(US/UK/Bosnia) to keep track of the development
•	Unit testing of the developed module
•	Adding enhancement to the existing modules
•	Providing guidance to the sub ordinates
•	Conducting knowledge sharing sessions to on board more people from within the organization",Software Engineer
"•	Responsible for designing/maintaining application architecture of all Jetstar commercial systems projects.
•	Creating, Reviewing and managing all the necessary technical documentation required for the project work.
•	Providing technical leadership to development team, involved in development of framework/ complex common functionalities and code reviews.
•	Technical Presales support, responding to RFPs and preparing SOWs.",Architect
"•	Responsible for end to end solution alignment and meet the target state of the bank.
•	Participated in vendor selection RFP for Payment Engine for client.
•	Responsible for estimation and proposal writing for the project.
•	Responsible Project Planning, Risk Management, Quality Assurance, Integration between different project areas.
•	Technical alignment and solution with all the impacted system and other product system’s.
•	Accountable for Managing budget, schedule and end to end delivery of the project.
•	Accountable for stakeholder management and managing escalations.
•	Accountable for regular status reporting to various levels both to internal and client stakeholder’s.
•	Accountable to adhere PMO and CMMI Level 5 standard and guidelines.
•	Active participation in finalizing architectural solution and assisting technical team to align with solution.",Manager
"•	Responsible for Migration of EDMS from 6.5 SP3 to 7.1 
•	Solution Design and Implementation of EDMS Migration with defined solution
•	Liaison between technical team and customer PMO for smooth execution of project
•	Identify risks and define strategy for mitigating risks during the project lifecycle.
•	Support customer operations team for provision of infrastructure and support for execution of activities in-time
•	Responsible for supporting team for technical issues and overall execution of activities
•	Validation of deliveries to ensure quality.
•	Support User Acceptance
•	Scoping of Change Requests and overall project effort and estimates for scoping",Architect
"•	PM for technology upgradation project for US client LPS Inc. (www.lpsvcs.com).
•	Dealt with client business team to collect requirements and developing proposed new architecture, construct applications proto type & database design by teaming up with client Enterprise Architect Team for rebuilding Core business applications to transform LPS operations, and supports growth areas to gain efficiencies to better serve clients.",Manager
"Performed systems testing, functional testing, and regression testing with Motorola Expedience Java Applications running on Apache Tomcat servers with Oracle 9i/10g, Microsoft SQL Server 2000/2005/2008 and Postgres databases.

Installed, upgraded, and maintained Oracle, MS SQL Server and Postgres databases running in lab environment.
Configured and administered wired/wireless network consisting of servers, hosts, CPE modems, basestations, and VLAN switches.
Maintained Expedience and Wimax networks on Linux Redhat, Fedora Core, CentOS, Windows Server 2003, and Windows Server 2008 operating system platforms.
Performed manual testing and automated testing writing/executing bash shell scripts, Perl scripts, and Selenium scripts against Motorola Expedience Java Applications.
Wrote and executed test plans for new features and maintained test cases using AP Test, Citrix.
Verified a certain CPE type will become dysfunctional after performing an upgrade both saved money and time since thousands of these CPE types were currently being used.",Database Administrator
"•	Work migration, Transition and support services to clients across globe for TELentice (a digital Media product).
•	SPOC for GDC team & Reporting to Delivery Manager - Oceania region.
•	Coordinating with internal/external customers for successful business operations and implementing procedures and service standards for business excellence.
•	Defining & managing requirements working with the business users and stakeholders in project lifecycle.
•	Resource Planning & Management, Conducting internal process reviews and SQA project audits for ensuring strict adherence to CMP defined quality processes & documentations.  ",Architect
"Perform coding migration, database change management & data management through the various stages of the development life cycle
Assist System Development Manager in developing queries, executing scripts, patches, reports, and monitoring
Assist System Development Manager in development, setting up and managing automated backups
Assist System Development Manager in Microsoft SQL Server management and database maintenance
Assist System Development Manager in performance tuning and database optimization
Identifying performance improvements to database procedures and data structures and working with Development teams to deliver code changes
Provide accurate effort estimates of the work involved even when others will be performing the actual programming work",Database Administrator
"•	RFB Response and Solutioning for customers requesting for IoT based solutions
•	Develop POCs using the IBM IoT Foundation, IBM BlueMix, Raspberry Pi
•	Vendor Analysis of IoT Platforms – ThingWorx, CloudPlugs
•	Program Management and Planning for the Automation Program.
•	Vendor Analysis of Robotic Process Automation Tools. 
•	Knowledge Items creation on Arago Autopilot for RPA in Application Management space. 
•	Requirement Gathering, Analysis for implementation of RPA within CSC accounts
•	Single handedly developed a Crowdsourcing Platform in Java/J2EE and deployment of the same on AWS Elastic BeanStalk, SSO/Federation using SAML2 Assertion. 
",Manager
"Responsible  for managing  different  aspects  of project  execution  including schedule, scope, quality, risk, stakeholder, vendor, resource and integration activities.
•	Facilitation of project activities and communicating project deliverables, milestones, problems etc. to multiple levels of participants and stakeholders
•	Provide leadership over the project team (including  Developers, Operations Team, vendors etc).
•	Leading  new  requirements  to  design,  develop,  and  implement  and  follow  new  systems following established project management methodologies and standards.
•    Identification of resources/ skills required to support project activities.
•  Conducting  project  team and stakeholder  meetings,  appropriately  elevating  issues  of scope schedule with the Client and Management.
•  Complete webMethods Administration & server security.
•  Create  &  execute  project  work  plans  &  revise (DevOps Technique)  as  appropriate  to  meet  changing  needs  &
requirements.
•  Conduct risk analysis & prepare mitigation strategies where necessary.
•  Coordinate multidisciplinary activities to ensure that the project deliverables are met.
•  Identify resources needed & work with section heads to assign individual responsibilities.
•  Manage day-to-day operational aspects of a project & scope.
•  Review deliverables prepared by team before passing to client.
•  Effectively apply methodology & enforce project standards.
•  Conduct project review meetings with clients & prepare agendas, meeting minutes & project summaries.
•  Hold regular status meetings with project team.
•  Ensuring the adherence to the delivery dates.",Manager
"Key   member   of   the   Integrations   Application   team   which   specializes   in   handling integration projects across company.
•	Liaising with the Clients and other onsite/ offshore counterparts.
•	Installing,    designing,    configuring,    supporting,    maintaining,     administering,     and documenting   the   integration   environments   (development,   test,   performance,   QA, training, and production).
•	Working   with   the   business   and   application   development   groups   to   ensure   the appropriate processes and technical infrastructure are put in place that will meet their business requirements.",Software Engineer
"•	Performed functional testing of an application
•	Developed test cases to test the application manually
•	Compared actual & expected results
•	Categorized bugs based on the severity",Quality Assurance
"?	Testing Health4Me of various real mobile device (iPhone and Android)
?	Create and test the functionality on Emulators and Simulators
?	Created a document showing the guidelines How to set Android and IPhone Emulators and Simulators.
?	Act as a SME of the whole mobile application and give App knowledge to external teams.
?	Give suggestion to Business regarding Usability of the application on Smart phones which in result, accepted as a change request.
?	Hosted defect tracking and Issue discussion calls.
?	Integrate and communicate with onsite team members for technical and business requirements.",Quality Assurance
"•	Architecture and Design of WPSOnline and WPSClient applications. Design and implementation of centralization of serial numbers and model numbers, Auto Sync up module
•	End to end implementation and deployment of various WPSOnline modules. Relevant use of design patterns to support different yet similar product lines (eToken, SafeWord, HASP)
•	Requirement gathering and analysis. Assistance in Project schedule generation and Updation.",Software Engineer
"•	Defining scope of automation.
•	Test identification and Estimation.
•	Automation Framework development.
•	Test Script development in java and java script.
•	Creating hybrid automation framework and integrating with maven and Jenkins. 
•	Performed API testing and Web Services Testing.",Quality Assurance
"Analyzed, conducted and implemented physical database designs.
Documented and maintained current database patches.
Worked to ensure all data are recovered, systems and data integrity are maintained.
Conducted audits on the environment and provided capacity planning, best practices guide for future production, development and tests on database administration.
Carried out performance assessment test and tuning on the database system.",Database Administrator
"?	Have been involved in customer interaction and meetings about portal
?	Involved in requirement gathering, discussion with other technical teams who going to use this portal in future.
?	Prepared test cases, Software design document and software technical document. 
?	Involved in GO –NOGO meeting with client and deadline of Sprints.",Technical Lead
"•	Provided leadership, direction, and support to technical team. 
•	Modeled all the internal processes of the customer, relating to their Media Asset Management and Content Scheduling & Sales system into IBM MQ Workflow",Technical Lead
"•	Architecture and design of service oriented multi-tier application
•	Designing business layer using domain driven design and onion architecture
•	Design and Implementation of calculation engine – framework, libraries, factories and calculators
•	Design and Implementation of different UI modules, WCF web services and RWA calculator
•	SSO Authentication and authorization implementation, cache implementation
•	Infrastructure setup, deployment and load balancer configurations
•	Preparing architecture specification, rich domain and technical design documents
•	Code reviews of other team members and Performance tuning activities",Architect
"•	Manage the deliverables of offshore team (22 members) for design and development of new features of the product
•	Involvement in Project Planning, Resource Management, Project Estimation and Scheduling
•	Requirement Gathering, Analysis, Formulating and Reviewing Application specifications
•	Design reviews, Code Reviews,  Test Plan Reviews
•	Preparing Technical Specification Document, High Level Design Document, Detailed Design Document.",Manager
