Description,Label
Requirement analysis. Helping in formulating the business case for the user stories. Individually designed the logical and physical structure of the Project. Product backlogs maintenance support to Product owner. Sprint backlogs creation. Sprint planning. Release planning. Optimizing sprint completion strategy based on the burn down and burn up charts. Weekly status reporting to stakeholders. Envisioning and rough TAD document preparation. Coordination among the team members and different teams. Peer code review and weekly team code review. User Stories review and sign-off from my side. FWT (Feature Walk Through) of the requirement to the stakeholders. Changes requested by stakeholders during the FWT.,Technical Lead
 Conceptualize and develop Flash-based games;  Contribute to the innovative development of Flash use and implementation;  Maintain familiarity with industry trends and anticipate/recommend design shifts to improve the company's service offerings;  Help train and grow Flash designers.,Architect
"As a Project Manager my key responsibilities are to ensure the following are carried out in accordance with the defined expectations  Progress  deliverables are being completed within the baselined time scales Cost  deliverables are being completed within the baselined cost plan Quality  deliverables are being completed to defined expectations, first time Performance (Value)  progress is being earned for the expected cost Cash flow  net project cash flow is being achieved as the defined expectations Regulatory  all required statutory and regulatory conditions are being met Reporting  regular and timely reporting of project progress to the sponsors Risk  to proactively manage foreseen project risk, mitigating as necessary Change  managing changes to the project without unduly affecting the stated objectives and benefits",Manager
 Provide software quality assurance (SQA) of Inegrated Circtuits design;  Make software quality testing with some guidance from senior level managers and other engineers.,Quality Assurance
" Develop and design software systems for a financial company (C#, ASP.NET, Oracle, HTML5 and JS);  Analyze new software requirements;  Perform object-oriented analysis, design and testing;  Create reports from DB (select, procedure and view). Receivable includes: technical requirements documents, use cases and diagrams, class diagrams, activity diagrams, package diagram and project estimates.",Technical Lead
" Maintain Oracle systems operations high availability;  Install, tune, optimise and troubleshoot Oracle instances;  Install Oracle on Linux/UNIX;  Write and optimize code in PL/SQL;  Monitor and implement SQL*Loader, Imports/Exports, Backup and Recovery strategies;  Lead SQL queries and reports.",Database Administrator
 Assist the program management in implementing the Program component related to the development of the State Water Cadastre Information System;  Refine and utilize water use guidelines and associated regulations;  Assist in designing and populating databases based on MS Access;  Design and build database user interface and data entry forms;  Design and construct database reports;  Conduct comprehensive populating of established cadastral databases;  Design and construct data import and export utilities;  Assist in GIS-based mapping.,Database Administrator
 Test the quality of raw materials and final product according to the established norms and quality standards as per assigned schedule;  Fill in the relevant register with approprate test results as required by the internal procedures;  Inform the QA Manager and Production Supervisor about any deviations from quality standards and norms.,Quality Assurance
"Will be responsible for installation and maintenance of IT equipment, network systems, and computers in the projects offices, and for the design and maintenance of databases relating to business contacts, monitoring and evaluation of project activities, and other related duties.",Database Administrator
" Create designs for (complex) analog and mixed-signal circuitry;  Contribute in realizing analog systems from the design track till the realization on board-level;  Execute the validation and define the qualification of the hardware;  Characterize, model and optimize analog circuits and building blocks in existing CMOS technologies;  Mentor junior engineers and help develop their skills;  Lead contact in the communication.",Technical Lead
"The key elements of the role are full life cycle product development working in a technically strong team through requirements gathering, architecture, development and release. The candidate is required to work closely with the other technical members of the Lycos Communities teams.",Software Engineer
 Prepare spatial databases and ArcGIS shape layers for water resources of Armenia;  Assist in GIS-based mapping including scanning and digitizing;  Contribute to training of counterpart agency staff in database management techniques (GIS and populating databases);  Conduct comprehensive populating of State Water Cadastre Information System databases under MS Access.,Database Administrator
" Manage and supervise a team of dedicated professionals responsible for the implementation of quality improvement activities, including provision of technical assistance to inform and refine quality improvement strategies, including introduction of evidence-based medicine principles, clinical practice guidelines, quality assurance and quality improvement strategies at national, marz, and health facility-levels;  Build on and enhance achievements in facility-level quality improvement and health information systems, specifically tackling NCD/ prevention issues, MCH/ RH, emergency care, etc.;  Provide technical assistance to develop capacity building approaches and training packages for training institutions and health care professionals;  Provide inputs to draft laws, policies, strategies and regulations as required;  Provide technical assistance to the Ministry of Health to introduce workforce planning tools and mechanisms;  Maintain strong and cohesive collaboration with other teams of the project as well as international organizations, MOH and other key counterparts, to jointly agree on strategies and implement activities in a way that increases local ownership and sustainability;  Maintain excellent relationships and promote effective collaboration with health sector organizations/ institutions, as well as donors, development partners, and other USAID projects;  Develop, provide overall technical guidance, inputs and ongoing support in all technical deliverables pertinent to the QI/ QA component activities of the project, per project SOW and programmatic strategies;  Provide technical support and leadership on planned STTAs for the QI/ QA component of the project, including drafting SOWs, maintaining communication and relevant paperwork;  Prepare project reports, including workplans, quarterly and annual progress reports and progress against Performance Management Plan.",Technical Lead
 Software development according to requirements;  Take part in gathering requirements;  Take part in system architecture development;  Participate in planning;  Complete work according to deadlines;  Take part in mentoring other developers professional skills.,Architect
Defining scope of automation. Test identification and Estimation. Automation Framework development. Test Script development in java and java script. Creating hybrid automation framework and integrating with maven and Jenkins. Performed API testing and Web Services Testing.,Quality Assurance
" Be responsible for web content administration;  Manage content of website by gathering information and integrating data from other departments;  Develop user interface and design standards, including improvement of features, to attract visitors to the website;  Work with company staff to identify, index, and make available knowledge resources;  Work with internal business and technical managers to fully understand content requirements to design and maintain an optimal interface;  Serve as expert consultant to staff on the development of web content in support of companys objectives;  Write, edit and create a variety of internal and external publications and marketing brochures for online publication;  Perform regular reviews of company web sites and other new media channels to ensure content accuracy, timeliness and relevance;  Be responsible for network automation management;  Be responsible for web site promotion;  Collaborate with team members on developing the procedural and technical means to add new platforms into the automation suite.",Manager
" Configure, maintain, and install new workstations, laptops, and servers  Troubleshoot system and network related problems  Support internal users, systems, software, and hardware  Administer NT \ Windows 2000 Systems  Develop and maintain Backup and Disaster Recovery Strategy  Purchase new equipment and software  Maintain software and hardware inventory  Administer and maintain phone system  Design and develop the Web site  Training and teaching the students of Microsoft Office software",Software Engineer
"Work migration, Transition and support services to clients across globe for TELentice (a digital Media product). SPOC for GDC team & Reporting to Delivery Manager  Oceania region. Coordinating with internal/external customers for successful business operations and implementing procedures and service standards for business excellence. Defining & managing requirements working with the business users and stakeholders in project lifecycle. Resource Planning & Management, Conducting internal process reviews and SQA project audits for ensuring strict adherence to CMP defined quality processes & documentations.",Architect
" Improve all aspects of the technical development cycle, including functional and technical product specifications, scrum story breakdown, testing and quality assurance, release and management and version control;  Foster a results oriented, continuous improvement environment based on Agile principles;  Assist US development teams with the creation of the best PM software on the market.",Manager
" Make all necessary installations, updates and maintenance of existing servers and user workstations;  Provide uninterruptible work of users in office (30 users) and stores in Yerevan and regions (20 stores);  Organize new workplaces for new employers upon necessity;  Purchase needed equipment, computers, printers etc.;  Organize work with internet providers.",Manager
"Understand/Analyze Business Requirement. Design Technical solution and Create the Technical Design document. Implementation. Functional Testing, Full Data Testing & UAT Support",Technical Lead
 IC design software quality assurance (SQA);  Software quality testing with some guidance from senior level managers and other engineers.,Quality Assurance
"Responsible for managing different aspects of project execution including schedule, scope, quality, risk, stakeholder, vendor, resource and integration activities. Facilitation of project activities and communicating project deliverables, milestones, problems etc. to multiple levels of participants and stakeholders Provide leadership over the project team (including Developers, Operations Team, vendors etc). Leading new requirements to design, develop, and implement and follow new systems following established project management methodologies and standards. Identification of resources/ skills required to support project activities. Conducting project team and stakeholder meetings, appropriately elevating issues of scope schedule with the Client and Management. Complete webMethods Administration & server security. Create & execute project work plans & revise (DevOps Technique) as appropriate to meet changing needs & requirements. Conduct risk analysis & prepare mitigation strategies where necessary. Coordinate multidisciplinary activities to ensure that the project deliverables are met. Identify resources needed & work with section heads to assign individual responsibilities. Manage day-to-day operational aspects of a project & scope. Review deliverables prepared by team before passing to client. Effectively apply methodology & enforce project standards. Conduct project review meetings with clients & prepare agendas, meeting minutes & project summaries. Hold regular status meetings with project team. Ensuring the adherence to the delivery dates.",Manager
" Design, implement and support databases,  Implement business rules via stored procedures,  Define user interfaces and functional specifications,  Responsible for database modeling, verifying accuracy of data,  Maintenance and support of databases,  Other duties as assigned.",Database Administrator
" Plan and establish database backup and recovery procedures;  Process database startup and shutdown procedures;  Manage and monitor database security and access control;  Maintain database and table space allocation, and forecast future growth;  Install database new releases and upgrades;  Perform database fine tuning and optimize data access;  Perform database analysis and capacity planning;  Document database maintenance procedures;  Manage users database accesses.",Database Administrator
Performed the requirement analysis and estimation of orchestrated services for WPS. Designed and implemented common base utilities and a process delegator framework for invocation of WPS processes. Involved in resource planning and task allocation process to set up an activity based project plan. Assisted the application architect and the principal architect of the project in evolving the right architecture for the program.,Architect
