Description,Label
Software Development Manager,Manager
IT Manager,Manager
Project Manager,Manager
Transition Manager,Manager
Technical Manager,Manager
System architect,Architect
Solution architect,Architect
Database Architect,Architect
Technical Architect,Architect
Senior Architect,Architect
Team Lead,Technical Lead
Tech Lead,Technical Lead
Track Lead ,Technical Lead
Project Lead,Technical Lead
IT Lead,Technical Lead
Associate,Software Engineer
Programmer,Software Engineer
Junior Developer,Software Engineer
Software Development Engineer,Software Engineer
Senior JAVA developer,Software Engineer
Quality Assurance Engineer,Quality Assurance
Tester / the Engineer of Quality Assurance (QC Engineer),Quality Assurance
Software Quality Assurance Engineer,Quality Assurance
Senior Quality Assurance Analyst,Quality Assurance
QA Engineer,Quality Assurance
Database Programmer,Database Administrator
Database Architect/ Developer,Database Administrator
Oracle Database  Assistant  Administrator,Database Administrator
DBA/ SQL Developer,Database Administrator
Junior Database Administrator,Database Administrator
"Indus Towers 
Client: Indus Towers, Gurgaon
Role: Project Manager/Technical lead
Platform: Windows XP, 
Tools: OBIEE, ODI , Cognos , Database Oracle 12c , SQL Developer, BMC Remedy Tool, MIS Reporting and Analysis
Duration: Aug‘11 – Till Date



Scope:	Indus Towers is an Indian joint venture telecom tower company incorporated in November 2007. It is owned by Vodafone Essar (42%), Bharti Group (42%) and Aditya Birla Telecom Limited (16%). Indus Towers has operations in 16 out of the 22 telecom circles of India and owns more than 110,000 towers with 200,000 tenants. It plans to add 5,000 new towers every year till 2015 and expects to have $ 2 billion in revenues in FY 2011-2012 .


Responsibilities:

•	Interact with Higher Management of Indus Towers VPs,CXOs on regular basis and understand business requirement and criticality.
•	Status meeting, Governance meetings with Client and Governance Manager.
•	Active participation in Release meetings and preparing deployment plans of CRs.
•	Participates in RFP submission for new business opportunities within Indus and outside Indus Account.
•	End 2 End Business Intelligence Requirement Gathering, development, maintenance and implementing Enterprise Reporting and Business Intelligence.  
•	Managed Project of OBIEE , ODI , Database upgrade to latest versions.",Manager
" Working with CSC Oracle Centre of Excellence developing the Pre-Sales/Trainings presentations, Providing Solutions and Reviewing Documents.

Project Manager/Service Delivery Manager Xchanging Technologies (Nov 13 –Dec 16)

•	Oracle Applications Support Project Manager working on all Financial Modules
•	Responsible for overall Service delivery for Financial Applications and Support team working on offshore onshore model. Owning the end-to-end delivery covering business requirements, process changes and delivery timelines.
•	Managed Onshore Offshore ERP Transition from the implementation partner to the Xchanging Financial Applications Support Team.
•	Responsible for translating high-level business requirements into detailed functional specifications
•	Handling escalations and addressing client concerns.",Manager
"Project 1 – Saath – Saath (SAP Stabilization and AMS Project)
Project type - SAP Annual Maintenance support
Module Covered – IS-MAM, FICO, Basis, MM, PP, SD, HCM, PI, BI
Client – India Today Group.	Project Duration - Nov 2015 - Aug 2016		Team Size – 20 

Project Role – Project Manager 
?	Complete ownership for overall strategy and processes, Aggressive transition from existing SAP Partner, P&L management, SLA and metrics management, invoicing, billing, customer satisfaction, performance management and employee retention.
?	Performed System study to analyse the impact of taking over already implemented SAP system.
?	Designing the detailed road map, including scope documentation, timelines and budget for gaps identified during system study for sap implemented by previous partner.
?	Preparing progress reports, presentations for the Steering Committee, to ensure the overall progress and risks involved and acquiring additional business to implement system study points.
?	Successfully replace service now with SAP Solution manager as service desk thereby saving substantial license cost for client.",Manager
"•	Nov16 – Present: Synechron Technologies  as Assistant Manager/ Client: Asurion, US
 Responsibilities:
?	Provision, operate & maintain CI/CD pipeline 
Build, provision, administer multi-tenant, scalable applications throughout the life cycle, from development, test and into production and support the IaaS/ PaaS infrastructure. Upgrade, maintain, and improve applications service delivery infrastructure & effectively manage the environment.
Manage code repository for Build, deployment and release process.
?	Service Delivery and Maintenance – Articulation, Design and analysis of new & existing functional requirements (entry and exit criteria) on AWS, Pega BPM and legacy platforms. 
?	Stakeholder management - Negotiate key milestone with customer & ensuring timely deliveries.
Working at client location & interacting with clients/end users/business partners / stakeholders for BAU support and gathering new functional/technical requirements. 
?	Resource Management- Leveraging cross functional synergy, succession planning of teams, productivity management, Mentoring new joiners and peers on business Domain and Technology.",Manager
"EXPERIENCE: 
ORACLE, India	 
[January 2016 – Present] 
Position: Product Manager 
 
               Responsibilities: 
 
?	As a product manager of “Connect” project, I was responsible for creating a cloud based integration platform for the Oracle’s hospitality industry working with three widely distributed scrum teams. 
?	Managed Product Delivery, implement Agile methodologies with 3 weekly sprints with high level of automation. 
?	Helped define strategy and features for all aspects of “Connect” Application from Systems Architecture to User Experience. 
?	Worked with business owners to understand objectives and key problems and transform these into product roadmaps, business and functional requirements, as well as technical specifications. 
?	Worked with development and test teams designing technical solutions and overall technical architecture to translate ideas into shipping features. ",Manager
"Salesforce Technical Consultant/Technical Architect at Synergy computer solutions Intl Ltd.
Feb 2015 – Current 

Working with client Abbott Health Care Pvt Ltd located in Mumbai as a Technical Consultant as well as Global Support Lead (INDIA, SRILANKA, NEPAL & AFRICA) to organize and developed different modules like PSA, MR’s coaching module, Eloqua Marketing Capabilities, Customizable Campaign Structure & Actonline and other Parma modules.
My roles and responsibilities as a Consultant/Architect in Abbott:

?	Analyze and review business, functional, and technical requirements.
?	Create detailed technical design documents.
?	Document and develop code according to specifications and standards.
?	Prepare test data and plan and conduct basic unit or module testing.
?	Provide support for quality assurance testing and defect resolution.
?	Prepare and package production ready code modules for staging.
?	Provide technical expertise in supporting the development environment, problem determination, change management, release management, performance analysis, environment design and operation of large and complex application.
?	Participate in project team meetings and communicate effectively with peers, architects, system analysts, business analysts, project managers, quality control, and across other technology team boundaries, reporting project status as required.
?	Be seen by all stakeholders as a technical expert in the skill set used by various applications.
?	May be required to be on call to provide support on a need-to basis.
?	Ensure effective implementation of application code through patterns and practices aimed at ensuring efficient and highly available production applications. ",Architect
"Organization – ConAm Technologies Pvt. Ltd., Gurgaon (Jan 2016 – Sept 2016)
Multiple Salesforce Implementations, Enhancements and Business Integrations
Role
      Solutions Architect/Program Manager
Responsibilities	o	Responsible for providing Business Solutions Proposal to clients and Technical Guidance to the delivery team.
o	Consulting and sales engineering
o	Complete solution delivery comprising of client engagement, requirements analysis, scoping, estimations, solution design and delivery
o	Technical Design and Development including Data Integration, Consolidation and Enrichment Strategy
o	Team ramp-up and Project Delivery
o	Client stake holder management
Environment	Salesforce.com, Visual Force, Apex, Web Service Integration, Eclipse plug-in for Force.com, Apex Data Loader, Informatica Cloud, Mule soft, Jitterbit, CRM fusion Demand Tools",Architect
"Client	A MNC Financial firm
Period	Nov 2006 to till Date
Description	
Client has complete HRMS, LMS and CRM suite of PeopleSoft applications. All applications have been updated recently and are on 9.1 & PT 8.5 version. 
 
?	PS HR System supports 30,000 Employees, Financial Advisors and Contractor population.
?	PS HR 9.1 is the primary system for Payroll, Benefits (Employee and Retiree population), Incentive Awards, Recruitment, and other core HR functions.
?	PS HR interacts with other system via IB & interfaces. System supports almost 150 feeds.
?	Enterprise Learning Management is the primary learning management system in the client organization. It utilizes PeopleSoft LMS 9.1 application. 
?	HR Helpdesk utilizes PeopleSoft CRM 9.1 application.
Position: Project Architect",Architect
"Project Title           : EzeePay
Client                         :  Confidential(Ghana)

Production By        : Tech Ahead
Skill Used                 : asp.net 4.0 MVC,Angular js 1.2, database sql server 2014.
Role Description   : Role as Technical Architect .Responsible for define structure of project, api and          
                                         database.Implemented  Secure api  communication.
Project Details       : E-Wallet app having functionality of pay the bill of net,mobile,electricity.",Architect
"DOITT                                                   
Role: Technical Architect/Lead	

Project Summary: 
Department of Information Technology and Telecommunications(DOITT)  is the  Newyork City’s  Government  Department which is responsible for  Implementing their Software Applications and mentioning them . This department handles numerous city government Agencies which are helping  in City Government of Newyork Activities.(for ex,311,911,DOB,,etc) 

Responsibilities:
•	Working as Research and Technical Development Architect at Mayor’s Office Criminal Justice (MOCJ).
•	Govt Agencies which are associating with MOCJ ,Interacting with appropriate agencies technical people and helping  them in their data to day activities. 
•	Implemented ‘Visualization Dashboards’  which are required by MOCJ using  Dash builder/UFDashbuilder application which free ware of Red hat Jboss Data Virtualization.
•	Attending various agencies meetings and co-ordintating with agencies to Understanding their requirements and  helping to Business analysts to understand technical feasibilities and existing system functionalities.
•	Wrote oracle stored procedures, DAOs, Spring MVC Controllers, Property Editors, jQuery and JavaScript. Implemented consistent exception handling for Portfolio web application so as to log all exceptions in a consistent manner.
•	Implemented ‘Google App script’ features for some of the using JQuery and Ajax calls.
•	Implemented and used various design patterns in our project such as Factory, Antipater’s, GWT,Uberfire Frameworks.
•	Extensively worked in Srpingdata with MongoDB project for getting MOCJ Client reports.",Architect
