Description	Label
"Responsible for end to end solution alignment and meet the target state of the bank. Participated in vendor selection RFP for Payment Engine for client. Responsible for estimation and proposal writing for the project. Responsible Project Planning	 Risk Management	 Quality Assurance	 Integration between different project areas. Technical alignment and solution with all the impacted system and other product system s. Accountable for Managing budget	 schedule and end to end delivery of the project. Accountable for stakeholder management and managing escalations. Accountable for regular status reporting to various levels both to internal and client stakeholder s. Accountable to adhere PMO and CMMI Level 5 standard and guidelines. Active participation in finalizing architectural solution and assisting technical team to align with solution."	Manager
"Provided full-stack UX oversight to produce a robust mobile data collection solution. Researched and presented UX and UI design recommendations; leveraged CogTool	 R	 and Gephi to model user touch/click-path behavior. Field Mobile Usability Testing with Morae (Manager and Observer). Invited Speaker for World Information Architecture Day (WIAD 2016)	 Boise and Global Streamed event	 hosted by Healthwise."	Manager
" Administrater the whole IS infrastructure of all TO (tobacco organization) Armenia offices and DCs;  Perform the disaster recovery	 system and user administration of Exchange Server	 Active Directory and other Windows 2003 server based systems;  Manage the end-user relations and non-business application requirements of all TO Armenia offices and DCs;  Interact with the rest of the Group IS and third party vendors for operational resolutions;  Administer the locally hosted application databases such as MS SQL;  Manage IS infrastructure and Helpdesk issues and report/ escalate to IS/Market Manager;  Perform the local and Group IS procedures to ensure proper support and control levels;  Execute/ coordinate preventive and active maintenance for the IS equipment of all TO Armenia offices;  Advise/ consult infrastructure	 system and IS environment solutions to improve the cost	 quality and support structure and implement them."	Manager
"Interface with customer and be the single point of contact for all requirements Creation of demo	 POC and presentations Estimating implementation effort Conducting requirement gathering meetings and interviews Writing and editing functional documents including Scope of work	 Software Requirement Specifications	 Business Process Models	 Use Cases etc. Managing complete project life cycle Built teams	 defined roles	 managed resources	 coordinated meetings	 evaluated risks & issues Facilitated team collaboration & fostered communication; created and managed action item databases Coordinated critical activities	 managed engagements & expectations	 secured time-critical approvals Overall responsibility for project profitability	 resource utilization	 recruitment and retention"	Manager
" Ensure maximum availability of computer systems throughout the department;  Be responsible for the provision of IT infrastructure services including desktop applications	 Local and/ or Wide area networks	 IT security and telecommunications;  Be responsible for development and implementation of new systems;  Work with senior management to propose	 agree and deliver IT service to define Service Level Agreements;  Be responsible for IT hardware	 software and maintenance procurement;  Develop and maintain a disaster recovery plan;  Develop and control the IT security policy."	Manager
 Perform daily IT operations;  Administrate local network;  Work with database;  Make reports related to the daily sales.	Manager
"Transition manager acted as interface with Perpetual s Senior Management	 Business & IT team to facilitate KT for different applications to Offshore GDC Team resources. Handled project execution and applications tickets (SR and Incidents) resolution remotely (offshore). Managing day-to-day team and project issues to ensure adherence to all appropriate standards. Resource management and defined project roles & responsibilities of team to handle applications."	Manager
" Make all necessary installations	 updates and maintenance of existing servers and user workstations;  Provide uninterruptible work of users in office (30 users) and stores in Yerevan and regions (20 stores);  Organize new workplaces for new employers upon necessity;  Purchase needed equipment	 computers	 printers etc.;  Organize work with internet providers."	Manager
" Manage a team of exceptional software professionals;  Define	 maintain	 oversee and enforce engineering processes;  Provide project leadership for key projects;  Train and mentor project leaders;  Take responsibility for release dates	 milestones and budgets."	Manager
" Manage the team;  Define	 maintain	 oversee and enforce engineering processes;  Provide project leadership for key projects;  Train and mentor project leaders;  Take responsibility for release dates	 milestones and budgets."	Manager
 Be responsible for Business-modeling;  Be responsible for Project Requirements analyzing;  Be responsible for system architectural design;  Develop technical and project documentations.	Architect
"included customer interaction	 requirement understanding	 creating scope and estimation documents	 configuring demos & POCs	 writing functional documents	 preparing and conducting presentations	 Project Planning	 and overall delivery and project management. Scope of responsibilities included working in various time zone of US and Australia."	Architect
" Develop critical framework components/reusable modules;  Establish	 maintain and adhere to set of development standards and patterns;  Document technical findings/decisions and make technical presentations;  Maintain	 improve and optimize Lycos internal software development process."	Architect
