Description	Label
" Lead efforts to define system and process requirements specific to user needs;  Lead analysis and review existing system problems. Accept input from others and make recommendations for improvements;  Oversee software integration and interface development;  Streamline processes to maximize utility of existing IT resources;  Help business operations utilize information systems to improve efficiency;  Deploy new performance monitoring and alert services	 focusing on security and protecting the companys and clients data;  Analyze	 report on	 and make recommendations for the improvement and growth of the IT infrastructure and IT systems;  Resolve all project issues including timeline	 scope changes	 software functionality and technology including managing project quality to ensure meeting business requirements."	Manager
" Manage a team of exceptional software professionals;  Define	 maintain	 oversee and enforce engineering processes;  Provide project leadership for key projects;  Train and mentor project leaders;  Take responsibility for release dates	 milestones and budgets."	Manager
" Roll out	 maintain	 and repair the IT infrastructure	 including facilities	 hardware	 and software;  Deploy	 operate and support IT systems and resources	 including all using IT equipment (cabling and wiring	 servers	 network	 power supply and wiring closet equipment	 end-user equipment	 software	 etc.)	 remote administering;  Manage users accesses to IT services	 grant and revoke specified accesses and rights; configure users workplaces and mobile devices	 including network connections	 administering the local PABX	 accounts	 mailboxes	 etc.;  Manage IT costs	 resources	 and contractors	 including budgeting and planning	 hardware/software inventory	 local hot stock	 service	 supply and integration contracts	 with guidance from Central IT;  Maintain Central IT procedures	 instructions and job standards	 including execution of reporting requirements	 incidents documentation	 systems/users lists keeping;  Maintain clear communication with the location management and staff	 with Central IT	 with local contractors	 suppliers and service providers;  Participate in IT projects during the whole multi-stage process	 according to level of responsibility."	Manager
" Lead the software development process;  Work with the Centers management team and lead specialist to capture functional and design requirements;  Develop project plans and system architecture in collaboration with the rest of the software development team;  Supervise a team of Flash	 AJAX and LAMP developers;  Organize and implement testing	 debugging and deployment."	Manager
" Create	 manage and update project related documentation;  Participate in all stages of the software development life-cycle;  Schedule	 conduct and document project review meetings;  Meet established project deadlines;  Manage project on a day-to-day basis;  Keep project on track;  Ensure team awareness on the project goals and needs;  Contribute to improvement of development processes;  Communicate effectively with the external Project Managers and Local Management."	Manager
" Understand	 define and analyse the needs and funtionalities of the software to be developped;  Dispatch the programming work to the available ressources;  Manage the project and the team;  Keep up with deadlines and quality;  Activily report to the IT manager."	Manager
" Be responsible for web content administration;  Manage content of website by gathering information and integrating data from other departments;  Develop user interface and design standards	 including improvement of features	 to attract visitors to the website;  Work with company staff to identify	 index	 and make available knowledge resources;  Work with internal business and technical managers to fully understand content requirements to design and maintain an optimal interface;  Serve as expert consultant to staff on the development of web content in support of companys objectives;  Write	 edit and create a variety of internal and external publications and marketing brochures for online publication;  Perform regular reviews of company web sites and other new media channels to ensure content accuracy	 timeliness and relevance;  Be responsible for network automation management;  Be responsible for web site promotion;  Collaborate with team members on developing the procedural and technical means to add new platforms into the automation suite."	Manager
The responsibilities include but are not limited to the following:  Local Area Network Administration and Maintenance;  Firewall Management and Antivirus Maintenance;  User Administration and Database Maintenance;  Web and Mail Server Management and Maintenance;  Intranet Management and Maintenance;  Web Site Maintenance and Content Management;  Office Productivity Applications Maintenance;  Workplace Software and Hardware Maintenance and Upgrade;  Automation Systems Integration and Maintenance.	Manager
" Be responsible for office ATC installation and administration;  If necessary	 be responsible for computer and data communications equipment selection and purchase coordination;  Establish and develop relations with mobile	 fax and internet communication	 service providers."	Manager
"Responsible for managing different aspects of project execution including schedule	 scope	 quality	 risk	 stakeholder	 vendor	 resource and integration activities. Facilitation of project activities and communicating project deliverables	 milestones	 problems etc. to multiple levels of participants and stakeholders Provide leadership over the project team (including Developers	 Operations Team	 vendors etc). Leading new requirements to design	 develop	 and implement and follow new systems following established project management methodologies and standards. Identification of resources/ skills required to support project activities. Conducting project team and stakeholder meetings	 appropriately elevating issues of scope schedule with the Client and Management. Complete webMethods Administration & server security. Create & execute project work plans & revise (DevOps Technique) as appropriate to meet changing needs & requirements. Conduct risk analysis & prepare mitigation strategies where necessary. Coordinate multidisciplinary activities to ensure that the project deliverables are met. Identify resources needed & work with section heads to assign individual responsibilities. Manage day-to-day operational aspects of a project & scope. Review deliverables prepared by team before passing to client. Effectively apply methodology & enforce project standards. Conduct project review meetings with clients & prepare agendas	 meeting minutes & project summaries. Hold regular status meetings with project team. Ensuring the adherence to the delivery dates."	Manager
