Description	Label
"Specific tasks and key responsibilities include but are not limited to: Design and implement RDBMS schemas and data access components; Design and fine-tune the physical data model for an application; Create the physical databases for an application; Design and code software components for web applications; Troubleshoot and fine-tune databases performance in production to ensure maximum performance; Develop integration, replication and backup/ restoration strategies; Interact with technical managers to facilitate the smooth flow of all technical information."	Architect
"Design, develop, introduce and assist technical project staff to use the M&E database and M&E management information system. Design and modify software for project monitoring and evaluation, and associated statistical assessments to supporting intervention refinement, and reporting needs of the project; Work with the technical Monitoring and Evaluation Team and with project Component teams, to create efficient analytic systems and data collection and data management, implement and maintain quality control in data management and maintain and help use project databases as needed for projects decision-making; Work with project technical staff in the wider process of coordination and integration of information systems in/ with the primary healthcare level; Participate together with the wider Project IT staff-pool in the creation and maintenance of office network (intranet) and IT solutions in office, and interfacing with offices and partners in the field; Provide training to project staff, in use of database resources, software and methods; Perform other duties as assigned by the Chief of Party and/ or Team Leader."	Database Administrator
Performed functional testing of an application Developed test cases to test the application manually Compared actual & expected results Categorized bugs based on the severity	Quality Assurance
"Lead the team; Push team to deliver to its commitments; Generate necessary team documentation; Serve as a strong contributing technical member of the team; Design test cases; Perform manual and automated testing; Design and develop automated test scripts; Perform functional, performance, load, compatibility and usability tests of the website; Identify, reproduce and report bugs; Verify fixed defects and perform regression tests to ensure the quality of software releases; Create all required test documentations."	Technical Lead
"The key elements of the role are full life cycle product development working in a technically strong team through requirements gathering, architecture, development and release. The candidate is required to work closely with the other technical members of the Lycos Communities teams."	Software Engineer
IC design software quality assurance (SQA); Software quality testing with some guidance from senior level managers and other engineers.	Quality Assurance
"Manage/design the architecture of the projects within the group Planning together with the team (estimate, dependencies etc) Software development Technical quality of the project Code review within the group Act as a mentor for the team"	Architect
"Improve all aspects of the technical development cycle, including functional and technical product specifications, scrum story breakdown, testing and quality assurance, release and management and version control; Foster a results oriented, continuous improvement environment based on Agile principles; Assist US development teams with the creation of the best PM software on the market."	Manager
Quality Assurance Engineer	Quality Assurance
"Maintain, administer and operate Oracle Databases with goal of high availability; Be responsible for Tune Oracle Databases for best performance; Analyse and solve problems in the area of Oracle databases; Execute changes with effect on Oracle databases; Related processes: Deployment/System Rollout Process, Capacity Management, Availability Management, Continuity Management, Operations Management, Incident/Problem Management, Change Management, Service Level Management (ITIL)."	Database Administrator
"Improve all aspects of the technical development cycle, including functional and technical product specifications, scrum story breakdown, testing and quality assurance, release and management and version control; Foster a results oriented, continuous improvement environment based on Agile principles; Assist European development teams with the creation of the best PM software on the market."	Manager
Associate	Software Engineer
"Coordinate physical changes to databases applying knowledge of database management systems, using JDBC/ODBC to call database procedures; Install, configure, administer and troubleshoot information systems that incorporate Microsoft Back Office products including SQL Server 2000 and SQL Server 2005; Analyze programs, company IT policies, and operational needs; Analyze problems, identify alternative solutions, and implement recommendations in support of district goals; Communicate clearly and concisely, both orally and in writing; Establish and maintain cooperative working relationships with those contacted in the course of work."	Database Administrator
Software Development Engineer	Software Engineer
"Served as DBA or project lead in the completion of 80+ medium to large-scale implementations, managing projects from business requirements analysis to solutions delivery and support. Managed a $1.2 million data-integration project for financial services firm that consolidated information from accounting applications, third-party market data and internal equities/fixed income applications. Contributed to furniture retailer s 15% revenue growth in 2016 by standardizing content from disparate databases, enabling sales and support staff to quickly respond to customer requests. Created Web-enabled, group-scheduling system for a large university, allowing students to view and print schedules for current and future semesters. Delivered solution on time, on spec and on budget. Innovated time-saving, robust employee data-intake system that automated database update functions, enabling new salary and process-exception information to be automatically populated. Developed and tested storage strategies and disaster-recovery plan for large manufacturing company s operational database, delivering solution that guaranteed recovery performance and high availability. Enhanced users understanding of database systems by conducting pre-implementation workshops, delivering group and individual training sessions and creating user-friendly training materials."	Database Administrator
Database Architect/ Developer	Database Administrator
